ID	Модуль	Название	Описание	Предусловия	Шаги	Ожидаемый результат	Приоритет	Статус
TC-001	Авторизация	Успешный вход с валидными данными	Проверка успешной авторизации с корректными учетными данными	Приложение запущено	1. Ввести логин "login2"<br>2. Ввести пароль "password2"<br>3. Нажать кнопку "Войти"	Открывается главный экран приложения	Высокий	Автоматизирован
TC-002	Авторизация	Вход с невалидным логином	Проверка обработки некорректного логина	Приложение запущено	1. Ввести логин "lflkigm"<br>2. Ввести пароль "password2"<br>3. Нажать кнопку "Войти"	Появляется сообщение об ошибке "Что-то пошло не так. Попробуйте позднее."	Средний	Автоматизирован
TC-003	Авторизация	Вход с невалидным паролем	Проверка обработки некорректного пароля	Приложение запущено	1. Ввести логин "login2"<br>2. Ввести пароль "pass1234"<br>3. Нажать кнопку "Войти"	Появляется сообщение об ошибке "Что-то пошло не так. Попробуйте позднее."	Средний	Автоматизирован
TC-004	Авторизация	Вход с пустым логином	Проверка валидации пустого поля логина	Приложение запущено	1. Оставить поле логина пустым<br>2. Ввести пароль "password2"<br>3. Нажать кнопку "Войти"	Появляется сообщение об ошибке "Логин и пароль не могут быть пустыми"	Высокий	Автоматизирован
TC-005	Авторизация	Вход с пустым паролем	Проверка валидации пустого поля пароля	Приложение запущено	1. Ввести логин "login2"<br>2. Оставить поле пароля пустым<br>3. Нажать кнопку "Войти"	Появляется сообщение об ошибке "Логин и пароль не могут быть пустыми"	Высокий	Автоматизирован
TC-006	Авторизация	Вход с пустыми полями логина и пароля	Проверка валидации полностью пустой формы	Приложение запущено	1. Оставить поле логина пустым<br>2. Оставить поле пароля пустым<br>3. Нажать кнопку "Войти"	Появляется сообщение об ошибке "Логин и пароль не могут быть пустыми"	Высокий	Автоматизирован
TC-007	Авторизация	Ввод пробелов в поле логин	Проверка обработки пробелов в логине	Приложение запущено	1. Ввести пробелы в поле логина<br>2. Ввести пароль "password2"<br>3. Нажать кнопку "Войти"	Появляется сообщение об ошибке "Логин и пароль не могут быть пустыми"	Средний	Автоматизирован
TC-008	Авторизация	Ввод пробелов в поле пароль	Проверка обработки пробелов в пароле	Приложение запущено	1. Ввести логин "login2"<br>2. Ввести пробелы в поле пароля<br>3. Нажать кнопку "Войти"	Появляется сообщение об ошибке "Логин и пароль не могут быть пустыми"	Средний	Автоматизирован
TC-009	Авторизация	Ввод спецсимволов в поле логин	Проверка обработки спецсимволов в логине	Приложение запущено	1. Ввести "!%~*?" в поле логина<br>2. Ввести пароль "password2"<br>3. Нажать кнопку "Войти"	Появляется сообщение об ошибке "Что-то пошло не так. Попробуйте позднее."	Низкий	Автоматизирован
TC-010	Авторизация	Ввод спецсимволов в поле пароль	Проверка обработки спецсимволов в пароле	Приложение запущено	1. Ввести логин "login2"<br>2. Ввести "!%~*?" в поле пароля<br>3. Нажать кнопку "Войти"	Появляется сообщение об ошибке "Что-то пошло не так. Попробуйте позднее."	Низкий	Автоматизирован
TC-011	Авторизация	Ввод 1 символа в поле логин	Проверка минимальной длины логина	Приложение запущено	1. Ввести "a" в поле логина<br>2. Ввести пароль "password2"<br>3. Нажать кнопку "Войти"	Появляется сообщение об ошибке "Что-то пошло не так. Попробуйте позднее."	Средний	Автоматизирован
TC-012	Авторизация	Ввод 1 символа в поле пароль	Проверка минимальной длины пароля	Приложение запущено	1. Ввести логин "login2"<br>2. Ввести "1" в поле пароля<br>3. Нажать кнопку "Войти"	Появляется сообщение об ошибке "Что-то пошло не так. Попробуйте позднее."	Средний	Автоматизирован
TC-013	Авторизация	Ввод более 1000 символов в поле логин	Проверка ограничения длины логина	Приложение запущено	1. Ввести 1001 символ "a" в поле логина<br>2. Ввести пароль "password2"<br>3. Нажать кнопку "Войти"	Поле логина ограничено 1000 символами	Средний	Автоматизирован
TC-014	Авторизация	Ввод более 1000 символов в поле пароль	Проверка ограничения длины пароля	Приложение запущено	1. Ввести логин "login2"<br>2. Ввести 1001 символ "a" в поле пароля<br>3. Нажать кнопку "Войти"	Поле пароля ограничено 1000 символами	Средний	Автоматизирован
TC-015	Авторизация	Ввод логина в верхнем регистре	Проверка чувствительности к регистру логина	Приложение запущено	1. Ввести "LOGIN2" в поле логина<br>2. Ввести пароль "password2"<br>3. Нажать кнопку "Войти"	Появляется сообщение об ошибке "Что-то пошло не так. Попробуйте позднее."	Средний	Автоматизирован
TC-016	Авторизация	Ввод пароля в верхнем регистре	Проверка чувствительности к регистру пароля	Приложение запущено	1. Ввести логин "login2"<br>2. Ввести "PASSWORD2" в поле пароля<br>3. Нажать кнопку "Войти"	Появляется сообщение об ошибке "Что-то пошло не так. Попробуйте позднее."	Средний	Автоматизирован
TC-017	Авторизация	Ввод кириллицы в поле логин	Проверка ввода кириллицы в логине	Приложение запущено	1. Ввести "логин" в поле логина<br>2. Ввести пароль "password2"<br>3. Нажать кнопку "Войти"	Появляется сообщение об ошибке "Что-то пошло не так. Попробуйте позднее."	Средний	Автоматизирован
TC-018	Авторизация	Ввод кириллицы в поле пароль	Проверка ввода кириллицы в пароле	Приложение запущено	1. Ввести логин "login2"<br>2. Ввести "пароль" в поле пароля<br>3. Нажать кнопку "Войти"	Появляется сообщение об ошибке "Что-то пошло не так. Попробуйте позднее."	Средний	Автоматизирован
TC-019	Авторизация	Ввод неверного логина и пароля	Проверка обработки полностью некорректных данных	Приложение запущено	1. Ввести "wrongLogin" в поле логина<br>2. Ввести "wrongPassword" в поле пароля<br>3. Нажать кнопку "Войти"	Появляется сообщение об ошибке "Что-то пошло не так. Попробуйте позднее."	Средний	Автоматизирован
TC-020	Авторизация	Корректное отображение элементов экрана авторизации	Проверка UI элементов на экране авторизации	Приложение запущено	1. Открыть экран авторизации	Отображаются все элементы: поле логина, поле пароля, кнопка "Войти"	Высокий	Автоматизирован
TC-021	Главный экран	Отображение меню навигации	Проверка отображения навигационного меню	Пользователь авторизован	1. Нажать на кнопку меню	Открывается меню навигации с пунктами	Высокий	Автоматизирован
TC-022	Главный экран	Отображение главной страницы	Проверка отображения главного экрана	Пользователь авторизован	1. Перейти на главный экран	Отображается главный экран приложения	Высокий	Автоматизирован
TC-023	Главный экран	Переход на вкладку "News"	Проверка навигации на экран новостей	Пользователь авторизован	1. Открыть меню<br>2. Выбрать "Новости"	Открывается экран новостей	Высокий	Автоматизирован
TC-024	Главный экран	Переход на вкладку "About"	Проверка навигации на экран "О приложении"	Пользователь авторизован	1. Открыть меню<br>2. Выбрать "О приложении"	Открывается экран "О приложении"	Высокий	Автоматизирован
TC-026	Главный экран	Пролистывание страницы	Проверка функционала прокрутки	Пользователь авторизован	1. Выполнить свайп вниз на главном экране	Страница прокручивается	Средний	Автоматизирован
TC-027	Главный экран	Обновление страницы	Проверка pull-to-refresh функционала	Пользователь авторизован	1. Выполнить свайп вниз на главном экране	Страница обновляется	Средний	Автоматизирован
TC-028	Новости	Свернуть/развернуть раздел новостей	Проверка сворачивания/разворачивания блока новостей	Пользователь авторизован	1. Нажать на кнопку свернуть/развернуть новости	Блок новостей сворачивается/разворачивается	Средний	Автоматизирован
TC-029	Новости	Переход к полному списку новостей	Проверка перехода ко всем новостям	Пользователь авторизован	1. Нажать на "Все новости"	Открывается полный список новостей	Высокий	Автоматизирован
TC-030	Новости	Отображение списка новостей	Проверка отображения списка новостей	Пользователь авторизован	1. Перейти в раздел новостей	Отображается список новостей	Высокий	Автоматизирован
TC-031	Новости	Создание новости с валидными данными	Проверка создания новости с корректными данными	Пользователь авторизован, открыта панель управления новостями	1. Нажать "Добавить новость"<br>2. Выбрать категорию "Объявление"<br>3. Ввести заголовок<br>4. Ввести описание<br>5. Выбрать дату публикации<br>6. Выбрать время публикации<br>7. Нажать "Сохранить"	Новость успешно создается	Высокий	Автоматизирован
TC-032	Новости	Создание новости с пустым заголовком	Проверка валидации пустого заголовка	Пользователь авторизован, открыта панель управления новостями	1. Нажать "Добавить новость"<br>2. Выбрать категорию<br>3. Оставить заголовок пустым<br>4. Ввести описание<br>5. Выбрать дату/время<br>6. Нажать "Сохранить"	Отображается предупреждение о необходимости заполнить заголовок	Высокий	Автоматизирован
TC-033	Новости	Создание новости с пустым описанием	Проверка валидации пустого описания	Пользователь авторизован, открыта панель управления новостями	1. Нажать "Добавить новость"<br>2. Выбрать категорию<br>3. Ввести заголовок<br>4. Оставить описание пустым<br>5. Выбрать дату/время<br>6. Нажать "Сохранить"	Отображается предупреждение о необходимости заполнить описание	Высокий	Автоматизирован
TC-034	Новости	Создание новости с латиницей в заголовке	Проверка ввода латинских символов в заголовке	Пользователь авторизован, открыта панель управления новостями	1. Нажать "Добавить новость"<br>2. Выбрать категорию<br>3. Ввести заголовок латиницей<br>4. Ввести описание<br>5. Выбрать дату/время<br>6. Нажать "Сохранить"	Новость успешно создается	Средний	Автоматизирован
TC-035	Новости	Создание новости с цифрами в заголовке	Проверка ввода цифр в заголовке	Пользователь авторизован, открыта панель управления новостями	1. Нажать "Добавить новость"<br>2. Выбрать категорию<br>3. Ввести заголовок цифрами<br>4. Ввести описание<br>5. Выбрать дату/время<br>6. Нажать "Сохранить"	Новость успешно создается	Средний	Автоматизирован
TC-036	Новости	Создание новости с кириллицей в заголовке	Проверка ввода кириллицы в заголовке	Пользователь авторизован, открыта панель управления новостями	1. Нажать "Добавить новость"<br>2. Выбрать категорию<br>3. Ввести заголовок кириллицей<br>4. Ввести описание<br>5. Выбрать дату/время<br>6. Нажать "Сохранить"	Новость успешно создается	Средний	Автоматизирован
TC-037	Новости	Проверка ограничения на количество символов в заголовке	Проверка максимальной длины заголовка	Пользователь авторизован, открыта панель управления новостями	1. Нажать "Добавить новость"<br>2. Выбрать категорию<br>3. Ввести заголовок длиной 1001 символ<br>4. Ввести описание<br>5. Выбрать дату/время<br>6. Нажать "Сохранить"	Применяется ограничение длины заголовка	Средний	Автоматизирован
TC-038	Новости	Создание новости с латиницей в описании	Проверка ввода латинских символов в описании	Пользователь авторизован, открыта панель управления новостями	1. Нажать "Добавить новость"<br>2. Выбрать категорию<br>3. Ввести заголовок<br>4. Ввести описание латиницей<br>5. Выбрать дату/время<br>6. Нажать "Сохранить"	Новость успешно создается	Средний	Автоматизирован
TC-039	Новости	Создание новости с кириллицей в описании	Проверка ввода кириллицы в описании	Пользователь авторизован, открыта панель управления новостями	1. Нажать "Добавить новость"<br>2. Выбрать категорию<br>3. Ввести заголовок<br>4. Ввести описание кириллицей<br>5. Выбрать дату/время<br>6. Нажать "Сохранить"	Новость успешно создается	Средний	Автоматизирован
TC-040	Новости	Создание новости с цифрами в описании	Проверка ввода цифр в описании	Пользователь авторизован, открыта панель управления новостями	1. Нажать "Добавить новость"<br>2. Выбрать категорию<br>3. Ввести заголовок<br>4. Ввести описание цифрами<br>5. Выбрать дату/время<br>6. Нажать "Сохранить"	Новость успешно создается	Средний	Автоматизирован
TC-041	Новости	Создание новости со спецсимволами в описании	Проверка ввода спецсимволов в описании	Пользователь авторизован, открыта панель управления новостями	1. Нажать "Добавить новость"<br>2. Выбрать категорию<br>3. Ввести заголовок<br>4. Ввести описание спецсимволами<br>5. Выбрать дату/время<br>6. Нажать "Сохранить"	Новость успешно создается	Средний	Автоматизирован
TC-042	Новости	Проверка ограничения на количество символов в описании	Проверка максимальной длины описания	Пользователь авторизован, открыта панель управления новостями	1. Нажать "Добавить новость"<br>2. Выбрать категорию<br>3. Ввести заголовок<br>4. Ввести описание длиной 1001 символ<br>5. Выбрать дату/время<br>6. Нажать "Сохранить"	Применяется ограничение длины описания	Средний	Автоматизирован
TC-044	Новости	Отмена создания новости	Проверка отмены создания новости	Пользователь авторизован, открыта панель управления новостями	1. Нажать "Добавить новость"<br>2. Ввести заголовок<br>3. Нажать "Отмена"	Создание новости отменяется, возврат к списку	Средний	Автоматизирован
TC-045	Новости	Редактирование существующей новости	Проверка редактирования новости	Пользователь авторизован, открыта панель управления новостями	1. Выбрать новость для редактирования<br>2. Изменить заголовок<br>3. Нажать "Сохранить"	Новость успешно редактируется	Высокий	Автоматизирован
TC-046	Новости	Удаление новости	Проверка удаления новости	Пользователь авторизован, открыта панель управления новостями	1. Выбрать новость для удаления<br>2. Подтвердить удаление	Новость удаляется из списка	Высокий	Автоматизирован
TC-047	Новости	Фильтрация новостей по категориям и датам	Проверка фильтрации новостей	Пользователь авторизован, открыта панель управления новостями	1. Нажать "Фильтр"<br>2. Выбрать категорию "Объявление"<br>3. Нажать "Фильтровать"	Отображаются новости выбранной категории	Средний	Автоматизирован
TC-049	Новости	Сброс фильтрации	Проверка сброса фильтров	Пользователь авторизован, открыта панель управления новостями	1. Нажать "Фильтр"<br>2. Нажать "Отмена"	Фильтры сбрасываются	Средний	Автоматизирован
TC-051	Новости	Свайп для обновления списка новостей	Проверка обновления списка свайпом	Пользователь авторизован, открыт список новостей	1. Выполнить свайп вниз на списке новостей	Список новостей обновляется	Средний	Автоматизирован
TC-054	Новости	Сортировка новостей	Проверка сортировки новостей	Пользователь авторизован, открыта панель управления новостями	1. Нажать кнопку сортировки	Новости сортируются по выбранному критерию	Средний	Автоматизирован
TC-055	Новости	Свернуть/развернуть отдельную новость	Проверка сворачивания/разворачивания конкретной новости	Пользователь авторизован, открыта панель управления новостями	1. Выбрать новость для разворачивания	Содержимое новости отображается/скрывается	Средний	Автоматизирован
TC-059	Цитаты	Свернуть/развернуть отдельную цитату	Проверка отображения описания цитаты	Пользователь авторизован	1. Перейти в раздел "Цитаты"<br>2. Открыть карточку цитаты	Отображается описание цитаты	Средний	Автоматизирован
TC-068	О приложении	Отображение раздела "About"	Проверка открытия раздела "О приложении"	Пользователь авторизован	1. Перейти в раздел "О приложении"	Открывается экран "О приложении"	Высокий	Автоматизирован
TC-070	О приложении	Отображение версии приложения	Проверка отображения версии приложения	Открыт раздел "О приложении"	1. Проверить поле версии	Отображается версия приложения "1.0.0"	Высокий	Автоматизирован
TC-071	О приложении	Отображение ссылки на политику конфиденциальности	Проверка ссылки на политику конфиденциальности	Открыт раздел "О приложении"	1. Проверить поле политики конфиденциальности	Отображается корректная ссылка	Высокий	Автоматизирован
TC-072	О приложении	Отображение ссылки на правила использования	Проверка ссылки на правила использования	Открыт раздел "О приложении"	1. Проверить поле правил использования	Отображается корректная ссылка	Высокий	Автоматизирован

